Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,DOI,PDF,Code,URL,BibTeX
Michael Burke; Willie Brink; ,Estimating Target Orientation with a Single Camera for Use in a Human-Following Robot,"21st Annual Symposium of the Pattern Recognition Association of South Africa, 2010",,,,2010,PRASA 2010,,,,,
Michael Glen Burke; ,Visual servo control for a human-following robot,"Stellenbosch: University of Stellenbosch, 2011",,,,2011,Stellenbosch: University of Stellenbosch,,,,,
Michael Burke; ,Laser-based target tracking using principal component descriptors,"21st Annual Symposium of the Pattern Recognition Association of South Africa., 2010",,,,2010,PRASA 2010,,,,,
Michael Burke; Willie Brink; ,Gain-scheduling control of a monocular vision-based human-following robot,"18th World Congress of the International Federation of Automatic Control, 2011",,,,2011,,,,,,
Michael Burke; Deon Sabatta; ,Position fusion for an outdoor mobile robot,"3rd Robotics and Mechatronics Symposium (ROBMECH), 2009",,,,2009,,,,,,
Michael Burke; Nico Bos; ,Optimal placement of range-only beacons for mobile robot localisation,"4th Robotics and Mechatronics Conference of South Africa (ROBMECH), 2011",,,,2011,,,,,,
Michael Burke; ,Path-following control of a velocity constrained tracked vehicle incorporating adaptive slip estimation,"2012 IEEE International Conference on Robotics and Automation, 97-102, 2012",,,97-102,2012,IEEE,,,,,
Stanley Tack; Michael Burke; Saurabh Sinha; ,Local exploration strategies for a mobile robot in a highly dynamic environment,"5th Robotics and Mechatronics Conference of South Africa (ROBOMECH), 2012",,,,2012,,,,,,
Michael Burke; Joan Lasenby; ,Multilinear function factorisation for time series feature extraction,"2013 18th International Conference on Digital Signal Processing (DSP), 1-8, 2013",,,1-8,2013,IEEE,,,,,
Michael Burke; Joan Lasenby; ,Single camera pose estimation using Bayesian filtering and Kinect motion priors,"arXiv preprint arXiv:1405.5047, 2014",,,,2014,,,,,,
Michael Burke; Joan Lasenby; ,Fast upper body joint tracking using kinect pose priors,"International Conference on Articulated Motion and Deformable Objects, 94-105, 2014",,,94-105,2014,Springer International Publishing,,,,,
Michael Burke; Joan Lasenby; ,Pantomimic gestures for human–robot interaction,"IEEE Transactions on Robotics 31 (5), 1225-1237, 2015",31,5,1225-1237,2015,IEEE,,,,,
Michael Burke; Deon Sabatta; ,Topic models for conference session assignment: Organising PRASA 2014(5),"2015 Pattern Recognition Association of South Africa and Robotics and …, 2015",,,94-99,2015,IEEE,,,,,
Michael Burke; Joan Lasenby; ,Estimating missing marker positions using low dimensional Kalman smoothing,"Journal of biomechanics 49 (9), 1854-1858, 2016",49,9,1854-1858,2016,Elsevier,,,,,
Michael Glen Burke; ,Fast upper body pose estimation for human-robot interaction,,,,,2015,,,,,,
Michael Burke; ,Image ranking in video sequences using pairwise image comparisons and temporal smoothing,"2016 PRASA-RobMech International Conference, 2016",,,,2016,,,,,,
Michael Burke; Deon Sabatta; ,Proceedings of the 2014 International Conference (PRASA-RobMech),"International Conference (PRASA-RobMech) 5, 2015, 2014",5,,2015,2014,,,,,,
M Burke; S Mbonambi; P Molala; R Sefala; ,Rapid Probabilistic Interest Learning from Domain-Specific Pairwise Image Comparisons,"arXiv preprint arXiv:1706.05850, 2017",,,,2017,,,,,,
Michael Burke; ,A generative Bézier curve model for surf-zone tracking in coastal image sequences,"IEEE Africon 2017, Cape Town, 18-20 September 2017, 2017",,,,2017,,,,,,
Michael Burke; ,Leveraging Gaussian process approximations for rapid image overlay production,"SAWACMMM '17 Proceedings of the ACM Multimedia 2017 Workshop on South …, 2017",,,21-26,2017,ACM Digital Library,,,,,
Ditebogo Masha; Michael Burke; Bhekisipho Twala; ,Slip estimation methods for proprioceptive terrain classification using tracked mobile robots,"2017 Pattern Recognition Association of South Africa and Robotics and …, 2017",,,150-155,2017,IEEE,,,,,
Mkhuseli Ngxande; Jules-Raymond Tapamo; Michael Burke; ,Driver drowsiness detection using behavioral measures and machine learning techniques: A review of state-of-art techniques,"2017 pattern recognition Association of South Africa and Robotics and …, 2017",,,156-161,2017,IEEE,,,,,
Patrick Kanda; Michael Burke; Rangan Gupta; ,Time-varying causality between equity and currency returns in the United Kingdom: Evidence from over two centuries of data,"Physica A: Statistical Mechanics and its Applications 506, 1060-1080, 2018",506,,1060-1080,2018,North-Holland,,,,,
Michael Burke; Svetlin Penkov; Subramanian Ramamoorthy; ,From explanation to synthesis: Compositional program induction for learning from demonstration,"Robotics: Science and Systems, 2019",,,,2019,,,,,,
Mkhuseli Ngxande; Jule-Raymond Tapamo; Michael Burke; ,Detecting inter-sectional accuracy differences in driver drowsiness detection algorithms,"2020 International SAUPEC/RobMech/PRASA Conference, 2020",,,,2020,,,,,,
Mkhuseli Ngxande; Jules-Raymond Tapamo; Michael Burke; ,Depthwisegans: Fast training generative adversarial networks for realistic image synthesis,"2019 Southern African Universities Power Engineering Conference/Robotics and …, 2019",,,111-116,2019,IEEE,,,,,
Michael Burke; Yordan Hristov; Subramanian Ramamoorthy; ,Hybrid system identification using switching density networks,"Conference on Robot Learning (CoRL), 2019",,,,2019,,,,,,
International Women in Science Without Borders. Proceedings; Michael Burke; Regina Maphanga; Jaco Jansen van Rensburg; ,"Women in Science Without Borders 2018, Resilience in Diversity: School of Tourism and Hospitality, University of Johannesburg, South Africa, 21-23 March 2018: Proceedings","University of Johannesburg, School of Tourism and Hospitality, 2018",,,,2018,"University of Johannesburg, School of Tourism and Hospitality",,,,,
Daniel Angelov; Yordan Hristov; Michael Burke; Subramanian Ramamoorthy; ,Composing Diverse Policies for Temporally Extended Tasks,"Robotics and Automation Letters (RA-L), 2020",,,,2020,,,,,,
Yordan Hristov; Daniel Angelov; Michael Burke; Alex Lascarides; Subramanian Ramamoorthy; ,Disentangled Relational Representations for Explaining and Learning from Demonstration,"Conference on Robot Learning (CoRL), 2019",,,,2019,,,,,,
Artūras Straižys; Michael Burke; Subramanian Ramamoorthy; ,Surfing on an uncertain edge: Precision cutting of soft tissue using torque-based medium classification,"2020 IEEE International Conference on Robotics and Automation (ICRA), 2020",,,,2020,,,,,,
Mkhuseli Ngxande; Jules-Raymond Tapamo; Michael Burke; ,Bias remediation in driver drowsiness detection systems using generative adversarial networks,"IEEE Access 8, 55592-55601, 2020",8,,55592-55601,2020,IEEE,,,,,
Mamuku Mokuwe; Michael Burke; Anna Sergeevna Bosman; ,Black-Box Saliency Map Generation Using Bayesian Optimisation,"International Joint Conference on Neural Networks (IJCNN), 2020",,,,2020,,,,,,
Miguel Jaques; Michael Burke; Timothy M Hospedales; ,Newtonianvae: Proportional control and goal identification from pixels via physical latent spaces,"Proceedings of the IEEE/CVF conference on computer vision and pattern …, 2021",,,4454-4463,2021,,,,,,
Miguel Jaques; Michael Burke; Timothy Hospedales; ,Physics-as-Inverse-Graphics: Unsupervised Physical Parameter Estimation from Video,"ICLR 2019, 2019",,,,2019,,,,,,
Martin Asenov; Michael Burke; Daniel Angelov; Todor Davchev; Kartic Subr; Subramanian Ramamoorthy; ,Vid2Param: Modelling of Dynamics Parameters From Video,"IEEE ROBOTICS AND AUTOMATION LETTERS 5 (2), 2872-2872, 2020",5,2,2872-2872,2020,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,,,,
Michael Burke; Kartic Subr; Subramanian Ramamoorthy; ,Action sequencing using visual permutations,"IEEE Robotics and Automation Letters 6 (2), 1745-1752, 2021",6,2,1745-1752,2021,IEEE,,,,,
Tatiana Lopez-Guevara; Michael Burke; Nicholas K Taylor; Kartic Subr; ,IV-Posterior: Inverse Value Estimation for Interpretable Policy Certificates,"arXiv preprint arXiv:2012.01925, 2020",,,,2020,,,,,,
Ditebogo Masha; Michael Burke; ,Importance Sampling Forests for Location Invariant Proprioceptive Terrain Classification,"Southern African Conference for Artificial Intelligence Research, 154-168, 2020",,,154-168,2020,Springer International Publishing,,,,,
Todor Davchev; Kevin Sebastian Luck; Michael Burke; Franziska Meier; Stefan Schaal; Subramanian Ramamoorthy; ,Residual learning from demonstration,"IEEE Robotics and Automation Letters, 2022, 2022",,,,2022,,,,,,
Todor Davchev; Michael Burke; Subramanian Ramamoorthy; ,Learning structured representations of spatial and interactive dynamics for trajectory prediction in crowded scenes,"IEEE Robotics and Automation Letters 6 (2), 707-714, 2020",6,2,707-714,2020,IEEE,,,,,
Michael Burke; Subramanian Ramamoorthy; ,Learning data association without data association: An em approach to neural assignment prediction,"arXiv preprint arXiv:2105.00369, 2021",,,,2021,,,,,,
Miguel Jaques; Martin Asenov; Michael Burke; Timothy Hospedales; ,Vision-based System Identification and 3D Keypoint Discovery using Dynamics Constraints,"Proceedings of The 4th Annual Learning for Dynamics and Control Conference …, 2022",168,,316-329,2022,PMLR,,,,,
Emma Perkins; Chiranjibi Sitaula; Michael Burke; Faezeh Marzbanrad; ,Challenges of driver drowsiness prediction: The remaining steps to implementation,"IEEE Transactions on Intelligent Vehicles 8 (2), 1319-1338, 2022",8,2,1319-1338,2022,IEEE,,,,,
Pamela Carreno; Dana Kulic; Michael Burke; ,Adapting Neural Models with Sequential Monte Carlo Dropout,"6th Annual Conference on Robot Learning, 2022",,,,2022,,,,,,
Artūras Straižys; Michael Burke; Subramanian Ramamoorthy; ,Learning robotic cutting from demonstration: Non-holonomic DMPs using the Udwadia-Kalaba method,"IEEE International Conference on Robotics and Automation (ICRA), 2023",,,,2023,,,,,,
Yi-Shan Tsai; Rafael Ferreira Mello; Taciana Pontual Falcão; Michael Burke; Dragan Gašević; ,Dichotomous views of automation in feedback practice,"International Learning Analytics & Knowledge Conference 2021, 52-54, 2021",,,52-54,2021,Society for Learning Analytics Research,,,,,
Haoyang Jiang; Elizabeth A Croft; Michael Burke; ,Social Cue Analysis using Transfer Entropy,"2024 ACM/IEEE International Conference on Human-Robot Interaction (HRI 2024), 2024",,,,2024,,,,,,
Artūras Straižys; Michael Burke; Paul M Brennan; Subramanian Ramamoorthy; ,A generative force model for surgical skill quantification using sensorised instruments,"Communications Engineering 2 (1), 36, 2023",2,1,36,2023,Nature Publishing Group UK,,,,,
Bryce Ferenczi; Michael Burke; Tom Drummond; ,Motion Perceiver: Real-Time Occupancy Forecasting for Embedded Systems,"IEEE Robotics and Automation Letters, 2024, 2023",,,,2023,,,,,,
Michael Burke; Katie Lu; Daniel Angelov; Artūras Straižys; Craig Innes; Kartic Subr; Subramanian Ramamoorthy; ,Learning rewards from exploratory demonstrations using probabilistic temporal ranking,"Autonomous Robots 47 (6), 733-751, 2023",47,6,733-751,2023,Springer US,,,,,
Zhongliang Jiang; Yuan Bi; Mingchuan Zhou; Ying Hu; Michael Burke; Nassir Navab; ,Intelligent robotic sonographer: Mutual information-based disentangled reward learning from few demonstrations,"The International Journal of Robotics Research 43 (7), 981-1002, 2024",43,7,981-1002,2024,SAGE Publications,,,,,
Arturas Straizys; Michael Burke; Subramanian Ramamoorthy; ,Generating robotic elliptical excisions with human-like tool-tissue interactions,"IEEE International Conference on Robotics and Automation, 2024",,,,2024,,,,,,
Boxuan Zhang; Lindsay Kleeman; Michael Burke; ,Rendering stable features improves sampling-based localisation with Neural radiance fields,"2024 Australasian Conference on Robotics and Automation, 2024",,,,2024,,,,,,
Michael G Burke; ,Feature tracking for visual servo based range regulation on a mobile robot,"PRASA 2009, 2009",,,,2009,PRASA 2009,,,,,
Michael Burke; ,On inter-sectional bias and its remediation in data-driven models,,,,,,,,,,,
Emma Perkins; Chiranjibi Sitaula; Michael Burke; Jessica Manousakis; Clare Anderson; Faezeh Marzbanrad; ,Investigating physiological and behavioral sensing modalities toward drowsiness detection,"IEEE Sensors Journal 23 (23), 29513-29524, 2023",23,23,29513-29524,2023,IEEE,,,,,
Lirui Guo; Michael G Burke; Wynita M Griggs; ,A new framework to predict and visualize technology acceptance: A case study of shared autonomous vehicles,"Technological Forecasting and Social Change 212, 123960, 2025",212,,123960,2025,North-Holland,,,,,
Bryce Ferenczi; Rhys Newbury; Michael Burke; Tom Drummond; ,Carefully Structured Compression: Efficiently Managing StarCraft II Data,"arXiv preprint arXiv:2410.08659, 2024",,,,2024,,,,,,
Bryce Ferenczi; Michael Burke; Tom Drummond; ,Efficiently Scanning and Resampling Spatio-Temporal Tasks with Irregular Observations,"arXiv preprint arXiv:2410.08681, 2024",,,,2024,,,,,,
Juyan Zhang; Dana Kulic; Michael Burke; ,A Probabilistic Model for Skill Acquisition with Switching Latent Feedback Controllers,"arXiv preprint arXiv:2410.14191, 2024",,,,2024,,,,,,
Shuai Li; Michael Burke; Subramanian Ramamoorthy; Juergen Gall; ,Learning a Neural Association Network for Self-supervised Multi-Object Tracking,"British Machine Vision Conference (BMVC), 2025",,,,2025,,,,,,
Unnati Nigam; Radhendushka Srivastava; Michael Burke; Faezeh Marzbanrad; ,A Dynamical Equation Approach For Quasi-Periodic Gaussian Processes,"ICASSP 2025-2025 IEEE International Conference on Acoustics, Speech and …, 2025",,,1-5,2025,IEEE,,,,,
Lirui Guo; Michael G Burke; Wynita M Griggs; ,Exploring human-SAV interaction using large language models: The impact of psychological ownership and anthropomorphism on user experience,"arXiv e-prints, arXiv: 2504.16548, 2025",,,arXiv: 2504.16548,2025,,,,,,
Haoyang Jiang; Elizabeth A Croft; Michael G Burke; ,Enhancing Human-Robot Interaction by Detecting and Modulating Information Flows,"2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI …, 2025",,,1857-1859,2025,IEEE,,,,,
Amara Zuffer; Michael Burke; Mehrtash Harandi; ,Advancements and Challenges in Continual Reinforcement Learning: A Comprehensive Review,"arXiv preprint arXiv:2506.21899, 2025",,,,2025,,,,,,
Haoyang Jiang; Elizabeth A Croft; Michael G Burke; ,Influence-Based Reward Modulation for Implicit Communication in Human-Robot Interaction,"ACM Transactions on Human-Robot Interaction, 2026",,,,2026,ACM,,,,,
